imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
697.02,-302.73,669.68,-6.77,5.43,0.73,-48.66,-13.8,25.51,2025-02-10T14:52:22.602003,944.58,129.88,399.9,-2.87,0.61,-0.67,-71.77,4.67,20.64,2025-02-10T14:52:22.602003
707.03,-349.12,606.2,1.4,-1.77,-0.55,-49.73,-13.56,25.76,2025-02-10T14:52:22.694129,922.36,95.95,326.9,1.77,-2.38,0.18,-72.64,4.91,20.47,2025-02-10T14:52:22.694129
720.21,-320.31,609.38,4.94,-0.37,0.67,-50.09,-13.19,25.74,2025-02-10T14:52:22.807711,922.85,123.78,338.87,1.46,0.18,1.1,-72.67,5.22,20.46,2025-02-10T14:52:22.807711
707.28,-329.35,621.34,-6.4,4.94,1.89,-50.38,-13.31,26.04,2025-02-10T14:52:22.882526,926.76,90.09,344.97,-5.3,1.95,0.91,-72.6,5.45,20.55,2025-02-10T14:52:22.882526
703.61,-336.91,637.45,4.94,0.24,2.2,-50.28,-13.51,26.64,2025-02-10T14:52:22.977847,940.67,100.1,365.72,-2.2,0.85,0.49,-72.26,5.69,20.58,2025-02-10T14:52:22.977847
708.5,-337.4,630.13,7.74,-1.22,-0.91,-49.85,-13.87,27.13,2025-02-10T14:52:23.068711,939.94,92.53,342.77,-2.8,-0.73,0.67,-71.67,5.91,20.38,2025-02-10T14:52:23.068711
708.98,-333.74,625.98,-0.12,-0.06,1.89,-49.64,-15.61,28.88,2025-02-10T14:52:23.159899,937.99,106.69,357.18,-1.16,0.98,1.65,-71.26,6.14,20.47,2025-02-10T14:52:23.159899
695.31,-353.03,607.67,1.89,0.55,0.43,-49.37,-16.04,29.2,2025-02-10T14:52:23.253369,924.32,98.39,363.28,-2.68,-0.18,0.67,-70.98,6.25,20.5,2025-02-10T14:52:23.253369
701.9,-346.44,647.22,8.23,-0.12,1.95,-49.42,-16.63,29.8,2025-02-10T14:52:23.350399,942.63,93.02,348.63,0.43,-0.91,0.49,-70.9,6.4,20.48,2025-02-10T14:52:23.350399
704.1,-324.22,638.43,-0.67,1.59,0.73,-49.37,-18.03,31.24,2025-02-10T14:52:23.529185,933.84,94.48,357.42,-1.59,0.43,0.67,-70.48,6.66,20.49,2025-02-10T14:52:23.529185
708.98,-345.95,633.79,1.04,1.34,0.49,-48.57,-18.39,31.71,2025-02-10T14:52:23.621597,930.18,91.55,342.29,-0.61,0.85,0.37,-69.96,6.43,20.81,2025-02-10T14:52:23.621597
700.68,-333.25,628.42,1.46,2.5,0.55,-47.93,-18.01,31.48,2025-02-10T14:52:23.712198,932.13,80.81,356.45,-1.65,1.1,0.73,-69.52,6.32,21.06,2025-02-10T14:52:23.712198
698.73,-344.73,635.5,0.06,2.5,1.22,-48.04,-18.76,32.06,2025-02-10T14:52:23.808660,933.84,84.72,354.98,-1.59,1.16,0.61,-69.73,6.3,21.06,2025-02-10T14:52:23.808660
686.77,-338.13,623.05,1.71,1.34,0.18,-48.13,-18.14,31.46,2025-02-10T14:52:23.903037,930.18,68.36,352.29,-1.77,-0.49,0.67,-69.8,6.29,20.89,2025-02-10T14:52:23.903037
695.07,-337.89,621.34,6.4,0.49,1.28,-48.0,-18.45,31.53,2025-02-10T14:52:23.997588,936.77,93.02,352.05,-0.73,-0.49,0.18,-69.55,6.05,21.06,2025-02-10T14:52:23.997588
698.73,-338.38,635.74,0.55,1.22,0.61,-47.79,-18.58,31.35,2025-02-10T14:52:24.090957,936.04,84.23,352.29,-0.3,0.49,0.73,-69.37,5.87,21.19,2025-02-10T14:52:24.090957
693.36,-350.1,636.96,0.37,1.71,0.79,-47.88,-18.68,31.37,2025-02-10T14:52:24.183488,937.99,72.27,362.55,-0.98,0.73,0.49,-69.38,5.75,21.33,2025-02-10T14:52:24.183488
692.14,-345.21,638.43,1.34,1.65,-0.18,-47.9,-18.79,31.38,2025-02-10T14:52:24.276902,938.96,65.92,360.11,-1.28,0.98,-0.49,-69.36,5.6,21.46,2025-02-10T14:52:24.276902
688.96,-343.02,649.17,0.06,1.04,0.85,-47.89,-18.8,31.26,2025-02-10T14:52:24.365121,935.55,76.9,373.78,-0.67,1.22,0.0,-69.38,5.47,21.64,2025-02-10T14:52:24.365121
684.57,-342.29,650.88,-6.16,-0.85,1.95,-47.82,-18.83,31.18,2025-02-10T14:52:24.466515,929.2,75.44,370.36,-0.18,0.55,-0.37,-69.46,5.38,21.83,2025-02-10T14:52:24.466515
691.65,-372.07,614.99,4.7,-2.38,-0.98,-47.78,-18.77,30.99,2025-02-10T14:52:24.552187,938.72,49.07,336.18,2.2,0.06,-0.06,-69.52,5.21,21.92,2025-02-10T14:52:24.552187
695.07,-350.59,630.62,3.96,1.46,-0.06,-47.73,-18.79,30.96,2025-02-10T14:52:24.642737,936.77,81.54,375.98,3.11,2.5,0.43,-69.51,5.1,21.97,2025-02-10T14:52:24.642737
692.87,-355.96,627.69,0.0,3.66,0.12,-47.67,-18.89,30.98,2025-02-10T14:52:24.734454,923.1,77.15,366.46,0.49,2.62,0.55,-69.47,5.0,22.06,2025-02-10T14:52:24.734454
688.96,-353.27,630.37,1.83,2.13,1.1,-47.54,-18.91,30.95,2025-02-10T14:52:24.829710,933.35,76.42,382.08,0.55,1.46,0.3,-69.4,4.86,22.22,2025-02-10T14:52:24.829710
689.94,-355.71,622.8,3.05,1.16,0.3,-47.34,-19.08,30.97,2025-02-10T14:52:24.920255,925.05,85.69,364.26,-0.55,-0.49,-0.43,-69.25,4.75,22.33,2025-02-10T14:52:24.920255
690.67,-390.62,583.98,14.88,-1.1,0.91,-47.24,-19.19,30.98,2025-02-10T14:52:25.011356,930.18,59.81,388.18,-0.06,-0.06,0.49,-69.19,4.65,22.35,2025-02-10T14:52:25.011356
