time,ankle_angle_l_moment,ankle_angle_r_moment,ground_force_right_vx,ground_force_right_vy,ground_force_right_vz,ground_force_right_px,ground_force_right_py,ground_force_right_pz,ground_torque_right_x,ground_torque_right_y,ground_torque_right_z,ground_force_left_vx,ground_force_left_vy,ground_force_left_vz,ground_force_left_px,ground_force_left_py,ground_force_left_pz,ground_torque_left_x,ground_torque_left_y,ground_torque_left_z,imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw
0.4,10.3665334,-81.62381192,38.29655363,660.97279205,-42.99784601,0.80223198,0.0,-0.2205721,0.0,23.82156231,0.0,19.83978317,343.74352332,-10.0325651,0.6912234,0.0,-0.42542222,0.0,2.73348605,0.0,-999.247894852015,457.85266945675187,1065.375130204056,24.56143415941817,142.4637414519397,-29.25813474478918,,,,-1121.6341662563593,24.6953353575134,-473.1395131024657,-23.676745719131112,106.3281136823678,-1.3499909732479796,,,
0.41,8.06251353,-87.81291565,30.8610626,683.22596723,-33.22828897,0.79811076,0.0,-0.22700294,0.0,22.93044077,0.0,20.67435668,257.88353502,-15.5692579,0.6870401,0.0,-0.42265928,0.0,1.45798874,0.0,-1054.7432720608344,558.8948490070566,1252.8990647737828,9.93536052300464,123.66621423491452,-24.687315772197636,,,,-1140.598551616609,63.359923135838685,-566.4323628207226,-30.98294408884507,103.04018764702666,-1.8998022320695842,,,
0.42,5.77406511,-90.48337555,23.65020543,684.32454153,-24.0165434,0.79410912,0.0,-0.23258971,0.0,22.19339124,0.0,19.1770425,186.57586494,-20.75726955,0.68277876,0.0,-0.41991027,0.0,0.62081379,0.0,-913.5335664904503,503.1597137047612,1212.218944286298,5.609185847905797,100.07813176087947,-27.499783651890855,,,,-1096.0191891012628,56.306361122408,-435.52977389183275,-19.467482716552034,91.48872468483177,-2.2209963399755868,,,
0.43,3.85469295,-89.77209039,15.41716299,666.63619755,-14.65596704,0.79011587,0.0,-0.23746725,0.0,20.96414185,0.0,16.7123231,132.27977426,-23.59247043,0.67839471,0.0,-0.4173041,0.0,0.20371488,0.0,-752.5602711129325,431.6726593466241,1148.610431340659,2.3178750169448428,76.00872685373668,-31.05407401382645,,,,-1045.055382675889,44.6593501423353,-282.1015510370202,-6.060948895216018,79.10699769554127,-2.5192205503591985,,,
0.44,2.34547392,-85.80023415,8.56723909,631.47769169,-3.15514701,0.78604998,0.0,-0.2418178,0.0,19.27218528,0.0,12.60094169,94.21404461,-25.50437208,0.67356704,0.0,-0.41526444,0.0,0.04634189,0.0,-591.5869757354146,360.18560498848694,1085.0019183950199,-0.9734358140161117,51.93932194659388,-34.608364375762044,,,,-994.0915762505149,33.01233916226259,-128.67332818220774,7.345584926119997,66.72527070625075,-2.8174447607428106,,,
0.45,1.12043217,-80.23756716,3.00132565,591.53633719,9.99717155,0.78178298,0.0,-0.24553562,0.0,17.36886282,0.0,10.45465952,69.96800062,-27.42922736,0.6682643,0.0,-0.41428796,0.0,0.00850635,0.0,-449.32150020814254,303.7690423199672,1019.8842564173829,-2.306244484529783,28.713447759126154,-37.499159150825506,0.0,0.0,0.0,-936.3575792979173,16.261650339952574,-9.716234494241235,19.804929096710147,53.634550020815475,-2.841013181629116,,,
0.46,0.11414698,-73.96466961,-0.15559126,551.95890499,24.70393931,0.77721363,0.0,-0.24860513,0.0,15.47232457,0.0,4.65330801,54.71743826,-31.61415144,0.66216952,0.0,-0.41374224,0.0,-0.00276007,0.0,-373.3065147773077,300.7220047176359,949.4222056334193,3.296641598445376,8.474790897740395,-38.040299708616566,0.0,0.0,0.0,-854.6481301512503,-18.562825863739995,-12.83264909116105,28.909965866517723,38.03305147773159,-1.891935895657098,,,
0.47,-0.84994531,-68.75520932,-1.82590634,523.92573529,38.54169983,0.77228534,0.0,-0.25086851,0.0,13.82457331,0.0,-6.54204063,45.74484584,-37.96797353,0.65551008,0.0,-0.41277812,0.0,-0.00696041,0.0,-297.2915293464732,297.67496711530475,878.9601548494561,8.899527681420505,-11.763865963645252,-38.581440266407625,0.0,0.0,0.0,-772.9386810045837,-53.38730206743238,-15.949063688080848,38.015002636325256,22.431552934647804,-0.9428586096850848,,,
0.48,-0.62169894,-65.8741915,-3.66610005,510.76472098,44.94544508,0.76711682,0.0,-0.25270166,0.0,12.54112147,0.0,-17.77742789,40.59270497,-34.01808073,0.649655,0.0,-0.40957698,0.0,-0.0050124,0.0,-221.27654391563837,294.62792951297354,808.4981040654926,14.502413764395666,-32.00252282503102,-39.122580824198685,0.0,0.0,0.0,-691.2292318579167,-88.21177827112496,-19.065478285000665,47.12003940613283,6.830054391563927,0.006218676286933178,,,
0.49,-0.37553898,-65.25064092,-6.31482272,512.95576297,45.30839776,0.76179015,0.0,-0.25394257,0.0,11.2195506,0.0,-22.77878675,37.53760228,-30.18560004,0.64585289,0.0,-0.40566685,0.0,-0.0029149,0.0,-196.93760078448452,292.8435015798649,770.6231654499894,15.10287453693619,-47.46203067116999,-33.77815455436928,0.0,0.0,0.0,-663.6425871649595,-99.26366937241235,-23.377768577031954,48.427897962519125,-8.674648616256022,0.7580412399215417,,,
0.5,-0.19556784,-66.29940943,-8.96129003,528.32563411,43.1303795,0.75639363,0.0,-0.25474557,0.0,9.9273526,0.0,-25.99582698,35.0943061,-27.25999395,0.64349082,0.0,-0.40135521,0.0,-0.00165576,0.0,-204.7170734364781,291.8438284484638,753.0022240684254,12.594158040967669,-59.95113505120872,-24.77564856177866,0.0,0.0,0.0,-669.6951040531703,-95.54009125081738,-28.433336238831714,44.88954538025733,-24.11918991065507,1.3872632926563178,,,
0.51,0.00696113,-68.43243701,-11.23566472,551.57071981,37.6045564,0.75100727,0.0,-0.25546884,0.0,8.76568,0.0,-28.96334952,33.47724986,-24.8993603,0.64247492,0.0,-0.39666507,0.0,-0.00096769,0.0,-212.4965460884717,290.84415531706264,735.3812826868615,10.085441544999146,-72.44023943124746,-15.773142569188032,0.0,0.0,0.0,-675.747620941381,-91.8165131292224,-33.48890390063147,41.35119279799554,-39.56373120505412,2.016485345391094,,,
0.52,0.27456067,-70.66149334,-12.05714699,574.86028598,30.04455852,0.74576251,0.0,-0.25656783,0.0,7.9960479,0.0,-32.5553315,33.20597711,-23.23080684,0.64279411,0.0,-0.39173707,0.0,-0.00057004,0.0,-220.2760187404653,289.8444821856615,717.7603413052975,7.576725049030625,-84.9293438112862,-6.770636576597404,0.0,0.0,0.0,-681.8001378295917,-88.09293500762743,-38.54447156243123,37.81284021573374,-55.00827249945316,2.64570739812587,,,
0.53,0.60301719,-72.23989508,-8.63163714,587.36834749,17.97933936,0.74078819,0.0,-0.25846061,0.0,7.74700149,0.0,-37.09035393,34.87541727,-22.68710682,0.64426908,0.0,-0.38680776,0.0,-0.00032634,0.0,-236.85850500242933,279.24648926561684,724.7388365872287,6.819213853956877,-91.748885221982,0.25960432154422275,0.0,0.0,0.0,-696.603514034598,-95.74836430903795,-49.76587212533708,34.376474501494265,-64.21254776627403,3.6719440005556785,0.0,0.0,0.0
0.54,0.84951455,-70.7833251,-5.4743176,579.93850823,12.89920628,0.73610698,0.0,-0.26156152,0.0,7.93015724,0.0,-43.50276604,39.62721448,-23.63521236,0.6463439,0.0,-0.38214225,0.0,-0.0001112,0.0,-253.94840981726975,268.09523518377154,733.1352793024374,6.162644688390286,-98.24162474814051,7.176160981031432,0.0,0.0,0.0,-711.9113025429006,-104.05969620648804,-61.34268029597551,30.94598745918205,-73.05712499131393,4.721065101090654,0.0,0.0,0.0
0.55,1.14140952,-65.90518086,-6.29598717,542.12108997,8.28538609,0.73172022,0.0,-0.26643501,0.0,7.56676309,0.0,-52.47763904,48.48200901,-27.01730688,0.64827847,0.0,-0.37797494,0.0,0.00018197,0.0,-271.0383146321102,256.9439811019263,741.5317220176462,5.5060755228236955,-104.73436427429901,14.09271764051864,0.0,0.0,0.0,-727.2190910512031,-112.37102810393816,-72.91948846661396,27.515500416869834,-81.90170221635381,5.770186201625631,0.0,0.0,0.0
0.56,1.39738703,-57.01590952,-7.39088228,465.02878269,7.51797739,0.72795976,0.0,-0.27429059,0.0,6.01107711,0.0,-62.29617191,61.17535622,-34.24040775,0.64946773,0.0,-0.37435682,0.0,0.00061432,0.0,-288.12821944695065,245.79272702008097,749.9281647328548,4.849506357257104,-111.22710380045751,21.00927430000585,0.0,0.0,0.0,-742.5268795595057,-120.68236000138825,-84.49629663725239,24.085013374557622,-90.74627944139371,6.819307302160606,0.0,0.0,0.0
0.57,1.27835235,-45.91712097,-10.63706271,369.59265566,13.10377418,0.72505773,0.0,-0.28614075,0.0,3.6410589,0.0,-69.6242305,78.32091019,-48.2630617,0.64946555,0.0,-0.3712856,0.0,0.00130477,0.0,-305.2181242617909,234.64147293823584,758.3246074480635,4.19293719169052,-117.71984332661596,27.925830959492984,0.0,0.0,0.0,-757.834668067808,-128.99369189883825,-96.0731048078907,20.654526332245446,-99.59085666643351,7.868428402695571,0.0,0.0,0.0
0.58,0.19970594,-35.11489829,-15.98934187,280.18405309,21.98026565,0.72320633,0.0,-0.30243483,0.0,1.09202883,0.0,-66.93957292,100.75054658,-73.67332117,0.64802923,0.0,-0.36893668,0.0,0.00289337,0.0,-354.7220855278356,216.84332363808656,776.0167266724218,4.878228912820236,-127.48397688860538,35.87728244634648,0.0,0.0,0.0,-791.763294552296,-139.2821892932914,-117.82843644366483,18.42952676676312,-112.31197940412997,9.279526766763123,0.0,0.0,0.0
