imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
560.55,-0.24,844.48,0.12,-0.49,-1.46,-33.94,-2.16,51.18,2025-02-10T14:52:01.758666,897.95,94.73,-435.06,1.34,-3.48,1.16,-113.25,4.09,36.94,2025-02-10T14:52:01.758666
562.26,9.28,837.65,0.06,0.12,-2.38,-33.66,-1.91,51.15,2025-02-10T14:52:01.848811,887.94,124.51,-429.69,-2.13,-0.85,2.2,-112.82,4.71,37.06,2025-02-10T14:52:01.848811
557.37,1.71,837.89,0.67,0.37,-1.59,-33.52,-1.87,51.18,2025-02-10T14:52:01.939050,890.14,112.3,-439.7,-2.8,-0.91,0.24,-112.68,5.04,37.19,2025-02-10T14:52:01.939050
560.3,-7.32,841.31,1.22,0.49,-1.28,-33.43,-1.74,51.27,2025-02-10T14:52:02.032542,900.39,83.74,-444.09,-2.32,-4.33,-0.55,-112.63,5.3,37.42,2025-02-10T14:52:02.032542
549.8,2.69,849.85,1.22,-1.1,-2.74,-33.34,-1.68,51.32,2025-02-10T14:52:02.127505,892.58,111.82,-435.06,0.3,-4.21,-0.55,-112.36,5.63,37.69,2025-02-10T14:52:02.127505
581.3,-4.39,823.73,1.04,-2.38,-4.02,-33.24,-1.79,51.3,2025-02-10T14:52:02.246818,865.97,82.28,-442.14,1.1,-5.3,-0.85,-112.05,5.94,37.92,2025-02-10T14:52:02.246818
565.19,16.85,832.76,1.89,-2.01,-4.45,-33.25,-1.71,51.33,2025-02-10T14:52:02.316729,881.59,142.58,-452.64,-1.52,-3.54,-1.65,-112.28,6.06,37.88,2025-02-10T14:52:02.316729
576.9,16.6,823.73,1.83,-1.59,-3.48,-33.33,-1.31,51.45,2025-02-10T14:52:02.407842,881.59,108.89,-468.51,-0.49,-5.37,-1.46,-113.04,6.22,37.64,2025-02-10T14:52:02.407842
568.36,20.51,831.05,1.77,-1.71,-3.11,-33.54,-0.86,51.62,2025-02-10T14:52:02.498218,864.75,113.28,-466.8,-0.18,-2.32,-0.67,-113.79,6.19,37.37,2025-02-10T14:52:02.498218
569.82,31.25,830.08,1.52,-0.73,-0.91,-33.69,-0.61,51.78,2025-02-10T14:52:02.590624,872.31,125.98,-483.4,-0.06,-1.04,-0.24,-114.43,6.16,37.04,2025-02-10T14:52:02.590624
580.32,8.54,820.8,-0.49,0.0,1.4,-33.78,-0.37,52.03,2025-02-10T14:52:02.681884,870.61,85.94,-473.14,-0.49,-2.93,0.0,-114.86,5.96,36.78,2025-02-10T14:52:02.681884
576.42,15.62,825.2,0.43,2.38,0.18,-33.84,-0.2,52.32,2025-02-10T14:52:02.772981,863.77,110.6,-477.05,-0.98,2.07,1.77,-115.46,5.85,36.67,2025-02-10T14:52:02.772981
570.8,3.66,834.23,0.79,2.07,0.43,-33.9,-0.16,52.57,2025-02-10T14:52:02.876149,875.73,92.04,-477.78,-0.37,1.83,2.32,-115.7,5.74,36.71,2025-02-10T14:52:02.876149
567.87,20.75,835.45,0.85,2.2,1.46,-33.95,-0.12,52.79,2025-02-10T14:52:02.962872,886.47,110.11,-460.21,-1.04,1.95,2.32,-115.89,5.68,36.88,2025-02-10T14:52:02.962872
574.46,21.73,823.97,0.85,0.91,0.37,-33.96,-0.1,53.0,2025-02-10T14:52:03.049855,859.62,80.57,-485.35,-1.04,4.7,1.71,-116.05,5.68,37.1,2025-02-10T14:52:03.049855
567.87,14.65,843.75,-0.06,3.66,1.22,-33.95,-0.08,53.13,2025-02-10T14:52:03.146761,892.33,93.26,-457.52,-0.06,3.41,2.56,-116.14,5.69,37.28,2025-02-10T14:52:03.146761
566.89,8.3,834.23,-1.65,1.83,2.5,-34.05,0.03,53.35,2025-02-10T14:52:03.232029,878.42,73.97,-437.5,0.0,1.46,0.91,-116.44,5.71,37.31,2025-02-10T14:52:03.232029
