imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp,dorsiflexion_angle
355.22,-250.98,901.37,-1.83,-1.16,1.65,,,,2025-03-12T10:13:31.261872,974.37,-96.92,-99.61,6.59,2.56,-3.84,-103.64,-6.37,17.07,2025-03-12T10:13:31.261872,-0.18902416112670598
362.79,-264.65,894.78,-0.91,-0.67,0.43,-23.46,-14.38,34.65,2025-03-12T10:13:31.262824,983.4,-123.29,-107.67,5.98,-0.98,-2.8,-103.62,-6.37,17.11,2025-03-12T10:13:31.262824,-0.16207025124867483
364.99,-261.72,897.71,-0.24,-0.37,0.0,-23.47,-14.39,34.66,2025-03-12T10:13:31.356911,986.33,-120.85,-140.62,7.62,-4.88,-3.9,-103.62,-6.4,17.09,2025-03-12T10:13:31.356911,-0.09906888432513661
364.5,-252.69,891.36,0.98,0.18,-1.4,-23.48,-14.39,34.67,2025-03-12T10:13:31.358607,972.17,-93.26,-183.35,7.87,-4.7,-3.9,-103.61,-6.4,17.11,2025-03-12T10:13:31.358607,-0.043332376102593245
364.5,-236.33,903.56,-1.28,0.06,-0.55,-23.48,-14.4,34.67,2025-03-12T10:13:31.359278,985.84,-88.13,-211.91,-4.57,-2.68,-2.13,-103.59,-6.4,17.12,2025-03-12T10:13:31.359278,-0.006559864578722097
370.12,-261.23,902.83,-2.62,-2.13,0.37,-23.48,-14.4,34.67,2025-03-12T10:13:31.359753,974.37,-112.55,-191.89,-0.91,-0.49,-2.99,-103.58,-6.4,17.15,2025-03-12T10:13:31.359753,0.030094122040390248
369.87,-260.99,894.78,-0.43,1.22,-0.79,-23.48,-14.4,34.68,2025-03-12T10:13:31.360096,996.83,-107.91,-177.98,-1.83,0.73,-2.62,-103.58,-6.4,17.14,2025-03-12T10:13:31.360096,0.02107242204198692
361.33,-244.14,906.25,-0.49,0.06,-0.73,-23.48,-14.4,34.68,2025-03-12T10:13:31.383962,1006.84,-93.75,-179.93,-5.49,0.61,-2.13,-103.57,-6.4,17.16,2025-03-12T10:13:31.383962,0.02492453959307661
361.08,-254.64,893.55,-2.32,-0.85,-0.43,-23.48,-14.4,34.68,2025-03-12T10:13:31.496417,961.43,-90.82,-184.08,-5.55,3.17,-2.99,-103.56,-6.39,17.19,2025-03-12T10:13:31.496417,0.01226869047216056
367.19,-265.38,892.82,0.18,1.46,-0.67,-23.49,-14.39,34.68,2025-03-12T10:13:31.496639,992.19,-97.9,-161.62,-4.15,2.8,-1.22,-103.55,-6.4,17.19,2025-03-12T10:13:31.496639,-0.019895600837328803
368.41,-254.39,910.4,-0.55,0.73,-0.79,-23.49,-14.39,34.69,2025-03-12T10:13:31.496721,1008.06,-67.63,-222.66,-2.5,2.74,-2.13,-103.54,-6.39,17.21,2025-03-12T10:13:31.496721,-0.044003402293424726
360.6,-245.85,909.67,-2.56,-0.67,0.61,-23.48,-14.39,34.69,2025-03-12T10:13:31.593247,945.07,-81.05,-136.47,-13.35,7.13,-0.55,-103.53,-6.38,17.23,2025-03-12T10:13:31.593247,-0.09813189977069622
353.76,-281.25,899.9,-1.1,0.73,0.49,-23.47,-14.39,34.69,2025-03-12T10:13:31.594232,1003.17,-125.73,-151.37,5.49,5.18,-1.65,-103.5,-6.37,17.25,2025-03-12T10:13:31.594232,-0.1469351833230203
371.34,-262.21,889.4,-1.22,-0.37,-0.55,,,,2025-03-12T10:13:31.594700,984.62,-42.24,-158.69,-6.34,4.82,-1.46,-103.48,-6.37,17.24,2025-03-12T10:13:31.594700,-0.18087684286221112
363.28,-258.06,892.82,-1.59,-0.67,-0.79,-23.47,-14.37,34.71,2025-03-12T10:13:31.659409,967.53,-138.18,-140.38,-2.2,4.94,-1.34,-103.47,-6.37,17.24,2025-03-12T10:13:31.659409,-0.21306820577193264
370.61,-246.34,896.0,-0.49,0.43,-0.06,-23.47,-14.37,34.72,2025-03-12T10:13:31.663316,1017.09,-68.36,-200.44,0.3,4.15,-2.44,-103.44,-6.38,17.25,2025-03-12T10:13:31.663316,-0.2481355607750859
369.38,-251.95,893.8,-1.28,1.28,-0.37,-23.49,-14.37,34.72,2025-03-12T10:13:31.696675,987.79,-62.5,-119.38,-19.15,6.04,0.37,-103.4,-6.4,17.19,2025-03-12T10:13:31.696675,-0.31089510444073465
355.22,-281.49,891.36,-3.48,-0.73,0.24,-23.52,-14.38,34.72,2025-03-12T10:13:31.758861,978.76,-149.9,-78.86,-8.35,2.62,-2.26,-103.37,-6.42,17.07,2025-03-12T10:13:31.758861,-0.3193357896686094
352.29,-283.94,896.0,-0.98,0.79,-3.17,-23.56,-14.39,34.72,2025-03-12T10:13:31.767266,976.81,-51.27,-134.28,-4.94,1.04,-2.56,-103.35,-6.41,17.09,2025-03-12T10:13:31.767266,-0.32688941880289
362.3,-262.7,886.23,-1.52,0.61,-2.99,-23.59,-14.38,34.71,2025-03-12T10:13:31.828254,998.29,-45.9,-142.58,-17.2,1.34,1.46,-103.34,-6.39,16.97,2025-03-12T10:13:31.828254,-0.33608151992814045
371.58,-259.03,889.89,-2.87,-1.46,-1.16,-23.62,-14.37,34.7,2025-03-12T10:13:31.863272,976.81,-25.88,-184.08,4.27,1.77,0.55,-103.34,-6.35,16.92,2025-03-12T10:13:31.863272,-0.32876031546014817
371.83,-261.72,900.15,-3.05,-2.01,0.55,-23.62,-14.34,34.71,2025-03-12T10:13:31.871045,992.92,-70.8,-135.99,-2.26,2.07,4.57,-103.31,-6.27,16.98,2025-03-12T10:13:31.871045,-0.3197809722008118
363.53,-263.43,895.51,-2.56,-2.26,0.43,-23.62,-14.29,34.71,2025-03-12T10:13:31.906160,990.72,-73.73,-134.77,3.05,2.38,4.76,-103.29,-6.17,17.03,2025-03-12T10:13:31.906160,-0.3114714754544868
367.68,-264.4,892.09,-1.77,-2.2,0.73,-23.6,-14.25,34.72,2025-03-12T10:13:31.968478,983.15,-63.48,-107.67,-4.57,0.73,5.43,-103.25,-6.07,17.07,2025-03-12T10:13:31.968478,-0.2873971540461277
362.06,-275.15,888.43,-1.1,-1.83,0.37,-23.58,-14.2,34.73,2025-03-12T10:13:31.976347,985.84,-129.88,-117.68,5.85,-1.83,3.84,-103.18,-5.95,17.13,2025-03-12T10:13:31.976347,-0.2412437016534681
374.02,-268.55,891.6,-0.37,-1.34,-0.3,-23.55,-14.17,34.73,2025-03-12T10:13:32.011374,983.4,-69.58,-140.87,3.66,-1.89,4.33,-103.08,-5.82,17.2,2025-03-12T10:13:32.011374,-0.1992572621896881
366.7,-259.52,894.29,-0.91,-1.83,0.67,,,,2025-03-12T10:13:32.066409,989.26,-102.54,-144.29,4.57,-1.65,3.9,-102.94,-5.67,17.37,2025-03-12T10:13:32.066409,-0.15474551185419627
370.85,-264.16,889.89,-0.85,-1.59,0.85,-23.51,-14.13,34.77,2025-03-12T10:13:32.079896,980.47,-94.73,-165.53,3.17,-0.24,4.39,-102.86,-5.59,17.45,2025-03-12T10:13:32.079896,-0.1268048778005113
365.48,-275.15,892.58,-0.67,-1.52,1.04,-23.46,-14.11,34.79,2025-03-12T10:13:32.115321,985.35,-94.97,-150.88,0.67,0.79,4.02,-102.67,-5.43,17.61,2025-03-12T10:13:32.115321,-0.10990182460980064
367.19,-289.06,896.73,-0.18,-1.65,0.73,-23.38,-14.13,34.79,2025-03-12T10:13:32.171372,993.16,-112.55,-121.34,2.87,0.06,3.05,-102.42,-5.29,17.81,2025-03-12T10:13:32.171372,-0.08430566280795987
368.16,-273.19,894.53,-0.12,-1.16,0.37,-23.33,-14.19,34.79,2025-03-12T10:13:32.184839,991.46,-116.7,-136.96,5.37,-0.3,2.2,-102.12,-5.16,18.05,2025-03-12T10:13:32.184839,-0.05974003558773394
373.78,-274.66,890.14,0.37,-0.61,0.67,-23.28,-14.24,34.76,2025-03-12T10:13:32.220277,986.57,-101.07,-154.05,2.93,0.43,2.8,-101.85,-5.1,18.21,2025-03-12T10:13:32.220277,-0.04804010275096898
377.44,-281.49,888.92,2.07,0.61,-0.18,-23.29,-14.31,34.73,2025-03-12T10:13:32.270131,990.97,-135.99,-134.52,5.91,0.18,1.65,-101.66,-5.05,17.98,2025-03-12T10:13:32.270131,-0.04584674274446071
366.46,-278.08,889.65,3.35,0.61,-0.43,-23.3,-14.33,34.73,2025-03-12T10:13:32.290081,984.13,-105.22,-98.39,7.74,-1.46,2.13,-101.61,-5.0,17.8,2025-03-12T10:13:32.290081,-0.027277718629620418
379.15,-272.46,892.09,3.11,0.18,-0.37,-23.31,-14.34,34.73,2025-03-12T10:13:32.325948,995.36,-131.35,-130.86,12.26,-1.89,1.1,-101.7,-4.96,17.49,2025-03-12T10:13:32.325948,9.014045937560944e-05
365.97,-259.28,898.19,1.71,-0.3,0.18,-23.32,-14.31,34.75,2025-03-12T10:13:32.375745,980.71,-85.45,-161.87,0.12,-0.91,3.17,-101.83,-4.9,17.17,2025-03-12T10:13:32.375745,0.022298775498364898
367.43,-268.31,892.09,1.59,-0.85,0.18,-23.31,-14.3,34.78,2025-03-12T10:13:32.395662,984.62,-133.3,-134.77,8.17,-1.16,1.52,-101.93,-4.8,17.17,2025-03-12T10:13:32.395662,0.05257790640661869
