time,ankle_angle_l_moment,ankle_angle_r_moment,ground_force_right_vx,ground_force_right_vy,ground_force_right_vz,ground_force_right_px,ground_force_right_py,ground_force_right_pz,ground_torque_right_x,ground_torque_right_y,ground_torque_right_z,ground_force_left_vx,ground_force_left_vy,ground_force_left_vz,ground_force_left_px,ground_force_left_py,ground_force_left_pz,ground_torque_left_x,ground_torque_left_y,ground_torque_left_z,imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw
10.1,1.48067272,-26.73941242,50.4236684,692.16611859,-46.60423997,-1.4235609,0.0,0.64914263,0.0,2.17454361,0.0,-5.26953016,2.80782537,-0.06058238,-1.18045361,0.0,0.28888412,0.0,3e-08,0.0,394.63963839262465,-159.53239960414606,903.2381991249543,2.7771613104849173,3.1009673680920846,-5.295968540028124,-24.04178681181311,-9.602986613886141,14.400223058492628,922.993127506641,-360.81291877181087,-200.53988736392515,-7.3916271680816505,-26.94343741861556,27.174402442835564,-110.8020873482994,-19.866118808271263,-25.0079854419501
10.11,1.37364662,-27.30869774,52.18761722,703.09526419,-45.18282113,-1.42354998,0.0,0.64855915,0.0,2.71245055,0.0,-4.66221212,2.5648991,-0.09561013,-1.16029699,0.0,0.28862155,0.0,3e-08,0.0,393.78152078233245,-158.6729798427002,903.9700080733371,2.990714099692684,3.308009401531322,-5.415766446169067,-24.356907391009937,-9.488397312360023,14.461424162716805,923.5009664565863,-371.30435061721926,-203.36946182092805,-8.48022553257978,-26.602273816344614,27.214769128600448,-110.96615839366633,-19.910391947497263,-24.98064026772228
10.12,1.25201474,-28.22451162,52.96398846,710.03444172,-43.37368385,-1.42272837,0.0,0.64801799,0.0,3.2088764,0.0,-4.09715422,2.33058042,-0.12330439,-1.1412101,0.0,0.2885755,0.0,2e-08,0.0,392.92340317204025,-157.81356008125428,904.7018170217198,3.2042668889004515,3.5150514349705597,-5.5355643523100095,-24.672027970206763,-9.373808010833903,14.522625266940983,924.0088054065316,-381.7957824626277,-206.199036277931,-9.56882389707791,-26.261110214073668,27.25513581436533,-111.13022943903329,-19.954665086723264,-24.953295093494454
10.13,1.12715864,-29.5989613,52.91237832,713.0202969,-41.94444474,-1.42092323,0.0,0.64749377,0.0,3.68479671,0.0,-3.64817845,2.14964238,-0.15453725,-1.12326619,0.0,0.28876427,0.0,1e-08,0.0,397.32309328317723,-147.16334502839368,915.2343169240785,-0.6128234528158567,0.5723199623829012,-6.576890801895324,-27.322352877346546,-8.818689188700402,14.713025283032517,935.7553557347994,-350.93323434730706,-200.3121883025283,-14.244118349187978,-23.48863818859189,26.642638622635367,-112.3040503490433,-20.34075632075813,-25.333579773573984
10.14,1.00838866,-31.64500532,52.75703443,713.18077922,-42.3802296,-1.41789239,0.0,0.64694723,0.0,4.15323569,0.0,-3.36017688,2.05534394,-0.20162178,-1.10653484,0.0,0.28923639,0.0,1e-08,0.0,395.6447918399826,-146.19036423481748,920.0015611097047,-0.7647386696567503,-0.6864061200130738,-6.486465077585268,-27.448948891380624,-8.594433392411464,14.568344124136429,946.8813368539087,-369.4777418888133,-193.51217383441212,-12.851562194813122,-24.414597605526858,26.707745144138606,-112.44511447896699,-20.304586031034106,-25.449324700690855
10.15,0.90772704,-34.58802772,51.80458843,712.52584445,-43.53586059,-1.41333364,0.0,0.64635663,0.0,4.64575606,0.0,-3.26256186,2.07737897,-0.27926812,-1.09107822,0.0,0.29005717,0.0,1e-08,0.0,393.95258691402495,-145.36112384529898,924.5381187473647,-0.9213043811568307,-1.9152389896125277,-6.396586300739769,-27.565467055080678,-8.376306489324996,14.428321131511362,957.2522204760622,-387.2168273985204,-186.8610843650578,-11.55413699260231,-25.321545478937523,26.765578979646584,-112.57809728237955,-20.26647437617386,-25.561846755337502
10.16,0.81251347,-38.74828909,50.21209635,712.84005985,-44.04187438,-1.40694683,0.0,0.64567691,0.0,5.12649016,0.0,-3.39251896,2.25694668,-0.41532451,-1.07695092,0.0,0.29129897,0.0,1e-08,0.0,391.95685435751966,-147.66988743659536,924.0385467693919,-1.179395275147906,-2.4914716291668593,-6.318647961465237,-27.46197516194564,-8.291979761585338,14.389990800720607,951.138532714937,-387.3727040770695,-183.46118402391792,-12.333520385347637,-25.8134513907522,26.664642441897602,-112.53465624081669,-20.185980681513275,-25.60401011920733
10.17,0.75778372,-44.70885547,49.80798202,716.67607525,-45.08073384,-1.39823041,0.0,0.64483352,0.0,5.61770221,0.0,-3.81496073,2.6680588,-0.67543908,-1.0642105,0.0,0.293051,0.0,1e-08,0.0,389.96112180101443,-149.97865102789177,923.538974791419,-1.4374861691389813,-3.067704268721191,-6.240709622190704,-27.358483268810605,-8.20765303384568,14.351660469929854,945.0248449538117,-387.5285807556186,-180.06128368277808,-13.112903778092964,-26.305357302566872,26.563705904148616,-112.49121519925383,-20.105486986852693,-25.64617348307716
10.18,0.73170743,-52.61236934,47.10582196,726.45968114,-45.99851875,-1.38706266,0.0,0.6437289,0.0,5.97496433,0.0,-4.6197241,3.42597558,-1.18099403,-1.05289588,0.0,0.29538955,0.0,1e-08,0.0,387.9653892445092,-152.28741461918818,923.0394028134463,-1.6955770631300564,-3.6439369082755224,-6.162771282916172,-27.254991375675573,-8.123326306106021,14.3133301391391,938.9111571926865,-387.68445743416765,-176.6613833416382,-13.89228717083829,-26.797263214381545,26.46276936639963,-112.44777415769097,-20.02499329219211,-25.68833684694699
10.19,0.8160136,-63.06051416,49.38583716,741.96591565,-48.906359,-1.37342902,0.0,0.64219883,0.0,6.45865238,0.0,-5.89480764,4.71192175,-2.18154238,-1.04304306,0.0,0.29836593,0.0,0.0,0.0,385.96965668800397,-154.5961782104846,922.5398308354734,-1.953667957121132,-4.220169547829854,-6.084832943641638,-27.151499482540537,-8.038999578366363,14.274999808348348,932.7974694315612,-387.84033411271673,-173.26148300049834,-14.671670563583616,-27.289169126196217,26.36183282865065,-112.40433311612813,-19.94449959753153,-25.730500210816817
